"longitude","latitude","City","Territory"
"54.3773438","24.453884","Abu Dhabi","United Arab Emirates"
"7.398574","9.0764785","Abuja","Nigeria"
"-0.1869644","5.6037168","Accra","Ghana"
"-130.1004636","-25.0662897","Adamstown","Pitcairn"
"38.7577605","8.9806034","Addis Ababa","Ethiopia"
"3.0587561","36.753768","Algiers","Algeria"
"-169.9178709","-19.0553711","Alofi","Niue"
"35.9283716","31.9453666","Amman","Jordan"
"4.8951679","52.3702157","Amsterdam","Netherlands"
"1.5218355","42.5063174","Andorra la Vella","Andorra"
"32.8597419","39.9333635","Ankara","Turkey"
"47.5079055","-18.8791902","Antananarivo","Madagascar"
"-171.7513551","-13.8506958","Apia","Samoa"
"58.3260629","37.9600766","Ashgabat","Turkmenistan"
"38.9250517","15.3228767","Asmara","Eritrea"
"71.4703558","51.1605227","Astana","Kazakhstan"
"-57.575926","-25.2637399","Asunción","Paraguay"
"23.7275388","37.9838096","Athens","Greece"
"-159.7823059","-21.2129007","Avarua","Cook Islands"
"44.3614875","33.3128057","Baghdad","Iraq"
"49.8670924","40.4092617","Baku","Azerbaijan"
"-8.0028892","12.6392316","Bamako","Mali"
"114.939821","4.9030522","Bandar Seri Begawan","Brunei"
"18.5581899","4.3946735","Bangui","Central African Republic"
"-16.5790323","13.4548761","Banjul","Gambia"
"-61.6947193","16.0341215","Basse-Terre","Guadeloupe"
"-62.7176924","17.3026058","Basseterre","Saint Kitts and Nevis"
"116.4073963","39.9041999","Beijing","China"
"35.5017767","33.8937913","Beirut","Lebanon"
"20.4489216","44.786568","Belgrade","Serbia"
"-88.7590201","17.2510114","Belmopan","Belize"
"7.4474468","46.9479739","Bern","Switzerland"
"74.5697617","42.8746212","Bishkek","Kyrgyzstan"
"-15.6177942","11.8816553","Bissau","Guinea-Bissau"
"-74.072092","4.7109886","Bogotá","Colombia"
"-47.8821658","-15.7942287","Brasília","Brazil"
"17.1077478","48.1485965","Bratislava","Slovakia"
"15.2428853","-4.2633597","Brazzaville","Republic of the Congo"
"-59.6144819","13.0968511","Bridgetown","Barbados"
"4.3517211","50.8503463","Brussels","Belgium"
"26.1025384","44.4267674","Bucharest","Romania"
"19.040235","47.497912","Budapest","Hungary"
"-58.3815591","-34.6036844","Buenos Aires","Argentina"
"29.3598782","-3.361378","Bujumbura","Burundi"
"31.2357116","30.0444196","Cairo","Egypt"
"149.1300092","-35.2809368","Canberra","Australia"
"-66.9036063","10.4805937","Caracas","Venezuela"
"-60.9874687","14.0101094","Castries","Saint Lucia"
"-52.3134531","4.92242","Cayenne","French Guiana"
"-64.9307007","18.3419004","Charlotte Amalie","United States Virgin Islands"
"28.8638102","47.0104529","Chișinău","Moldova"
"-71.1389101","21.4674584","Cockburn Town","Turks and Caicos Islands"
"-13.5784012","9.6411855","Conakry","Guinea"
"12.5683372","55.6760968","Copenhagen","Denmark"
"-17.4676861","14.716677","Dakar","Senegal"
"36.2765279","33.5138073","Damascus","Syria"
"90.4125181","23.810332","Dhaka","Bangladesh"
"125.5603143","-8.5568557","Dili","East Timor"
"43.1456475","11.5720765","Djibouti","Djibouti"
"35.7516069","-6.162959","Dodoma ","Tanzania"
"51.5310398","25.2854473","Doha","Qatar"
"-4.4861228","54.1523372","Douglas","Isle of Man"
"-6.2603097","53.3498053","Dublin","Ireland"
"68.7870384","38.5597722","Dushanbe","Tajikistan"
"-12.3113147","-37.0680421","Edinburgh of the Seven Seas","Tristan da Cunha"
"-61.0587804","14.6160647","Fort-de-France","Martinique"
"-13.2317225","8.4656765","Freetown","Sierra Leone"
"179.1961926","-8.5211471","Funafuti","Tuvalu"
"25.9231471","-24.6282079","Gaborone","Botswana"
"-81.3674389","19.2869323","George Town","Cayman Islands"
"-58.1551255","6.8012793","Georgetown","Guyana"
"-5.353585","36.140751","Gibraltar","Gibraltar"
"-90.5068824","14.6349149","Guatemala City","Guatemala"
"-62.852201","17.8964345","Gustavia","Saint Barthélemy"
"144.7502228","13.4762824","Hagåtña","Guam"
"-64.7858887","32.2945837","Hamilton","Bermuda"
"105.8341598","21.0277644","Hanoi","Vietnam"
"31.03351","-17.8251657","Harare","Zimbabwe"
"-82.3665956","23.1135925","Havana","Cuba"
"24.9383791","60.1698557","Helsinki","Finland"
"114.109497","22.396428","Hong Kong","Hong Kong"
"159.9728999","-9.4456381","Honiara","Solomon Islands"
"73.0931461","33.7293882","Islamabad","Pakistan"
"106.8650395","-6.17511","Jakarta","Indonesia"
"35.21371","31.768319","Jerusalem ","Israel"
"31.57125","4.859363","Juba","South Sudan"
"69.207486","34.5553494","Kabul","Afghanistan"
"32.5825197","0.3475964","Kampala","Uganda"
"85.3239605","27.7172453","Kathmandu","Nepal"
"32.5598994","15.5006544","Khartoum","Sudan"
"30.5234","50.4501","Kiev","Ukraine"
"30.1044288","-1.9705786","Kigali","Rwanda"
"-76.8099041","18.0178743","Kingston","Jamaica"
"167.959588","-29.0563937","Kingston","Norfolk Island"
"-61.2248157","13.1600249","Kingstown","Saint Vincent and the Grenadines"
"15.2662931","-4.4419311","Kinshasa","Democratic Republic of the Congo"
"101.686855","3.139003","Kuala Lumpur ","Malaysia"
"47.9774052","29.375859","Kuwait City","Kuwait"
"9.4672676","0.4161976","Libreville","Gabon"
"33.7741195","-13.9626121","Lilongwe","Malawi"
"-77.042754","-12.0463731","Lima","Peru"
"-9.1393366","38.7222524","Lisbon","Portugal"
"14.5057515","46.0569465","Ljubljana","Slovenia"
"1.2313618","6.1724969","Lomé","Togo"
"-0.1277583","51.5073509","London","United Kingdom"
"13.2894368","-8.8399876","Luanda","Angola"
"28.3228165","-15.3875259","Lusaka","Zambia"
"6.1319346","49.611621","Luxembourg","Luxembourg"
"-3.7037902","40.4167754","Madrid","Spain"
"171.1857736","7.1164214","Majuro","Marshall Islands"
"8.7371039","3.7504118","Malabo","Equatorial Guinea"
"73.5093474","4.1754959","Malé","Maldives"
"45.227872","-12.7809488","Mamoudzou","Mayotte"
"-86.2361744","12.1149926","Managua","Nicaragua"
"50.5860497","26.2285161","Manama","Bahrain"
"120.9842195","14.5995124","Manila","Philippines"
"32.6051351","-25.891968","Maputo","Mozambique"
"27.5143603","-29.3632188","Maseru","Lesotho"
"-176.1764475","-13.2825091","Mata-Utu","Wallis and Futuna"
"31.1366715","-26.3054482","Mbabane ","Swaziland"
"-99.133208","19.4326077","Mexico City","Mexico"
"27.5615244","53.9045398","Minsk","Belarus"
"45.3181623","2.0469343","Mogadishu","Somalia"
"7.4246158","43.7384176","Monaco","Monaco"
"-10.7605239","6.2907432","Monrovia","Liberia"
"-56.1645314","-34.9011127","Montevideo","Uruguay"
"43.2473146","-11.7172157","Moroni","Comoros"
"37.6172999","55.755826","Moscow","Russia"
"58.4059227","23.58589","Muscat","Oman"
"36.8219462","-1.2920659","Nairobi","Kenya"
"-77.355413","25.0479835","Nassau","Bahamas"
"96.0785104","19.7633057","Naypyidaw","Myanmar"
"15.0557415","12.1348457","N'Djamena","Chad"
"77.2090212","28.6139391","New Delhi","India"
"134.624289","7.5003835","Ngerulmud","Palau"
"2.1253854","13.5115963","Niamey","Niger"
"33.3822764","35.1855659","Nicosia","Cyprus"
"33.3598366","35.1925267","Nicosia","Northern Cyprus"
"-15.9582372","18.0735299","Nouakchott","Mauritania"
"166.4505243","-22.2558234","Nouméa","New Caledonia"
"-175.204947","-21.1393418","Nukuʻalofa","Tonga"
"-51.6941381","64.1814099","Nuuk","Greenland"
"-70.0086306","12.5092044","Oranjestad","Aruba"
"10.7522454","59.9138688","Oslo","Norway"
"-75.6971931","45.4215296","Ottawa","Canada"
"-1.5196603","12.3714277","Ouagadougou","Burkina Faso"
"-170.7020359","-14.2756319","Pago Pago","American Samoa"
"158.1610274","6.9147118","Palikir","Federated States of Micronesia"
"-79.5198696","8.9823792","Panama City","Panama"
"-149.5584758","-17.5516251","Papeete","French Polynesia"
"-55.2038278","5.8520355","Paramaribo","Suriname"
"2.3522219","48.856614","Paris","France"
"104.8921668","11.5448729","Phnom Penh","Cambodia"
"-62.215738","16.706523","Plymouth ","Montserrat"
"19.2593642","42.4304196","Podgorica ","Montenegro"
"57.5012222","-20.1608912","Port Louis","Mauritius"
"147.1506542","-9.4780123","Port Moresby","Papua New Guinea"
"168.3273245","-17.7332512","Port Vila","Vanuatu"
"-72.3074326","18.594395","Port-au-Prince","Haiti"
"-61.5019256","10.6549013","Port of Spain","Trinidad and Tobago"
"2.6288523","6.4968574","Porto-Novo ","Benin"
"14.4378005","50.0755381","Prague","Czech Republic"
"-23.5133267","14.93305","Praia","Cape Verde"
"28.2292712","-25.7478676","Pretoria ","South Africa"
"125.7625241","39.0392193","Pyongyang","North Korea"
"-78.4678382","-0.1806532","Quito","Ecuador"
